変数情報
変数	位置	ラベル
LQ04_1H	56	w13問4(1)_仕事の内容が面白い
LQ04_1I	57	w13問4(1)_正規の社員･職員としての報酬と権利が与えられている
LQ04_2	58	w13問4(2)_仕事仲間からのアドバイス
LQ04_3A	59	w13問4(3)_ほぼ毎日残業
LQ04_3B	60	w13問4(3)_社員数が恒常的に不足
LQ04_3C	61	w13問4(3)_いつも締め切りに追われている
LQ04_3D	62	w13問4(3)_互いに助け合う雰囲気
LQ04_3E	63	w13問4(3)_一人ひとりが行う仕事が多い
LQ04_3F	64	w13問4(3)_連携しながら行う仕事が多い
LQ04_3G	65	w13問4(3)_先輩が後輩を指導する雰囲気
LQ04_3H	66	w13問4(3)_社員の希望で移動できる仕組み
LQ04_3I	67	w13問4(3)_若手社員の相談相手を決めている
LQ04_3J	68	w13問4(3)_将来の仕事について相談できる機会
LQ04_3K	69	w13問4(3)_正社員でない人が多い
LQ04_3L	70	w13問4(3)_女性が多い
LQ04_3M	71	w13問4(3)_男女の別なく活躍できる
LQ04_3N	72	w13問4(3)_いずれもあてはまらない
LQ04_4	73	w13問4(4)_仕事の習熟期間
LQ05RE_A	74	w13問5(1)今までの経験―親が失業した／親が事業で失敗した
LQ05RE_B	75	w13問5(2)今までの経験―親が離婚した
LQ05RE_C	76	w13問5(3)今までの経験―親が再婚した
LQ05RE_D	77	w13問5(4)今までの経験―自分が事業で失敗した
LQ05RE_E	78	w13問5(5)今までの経験―自分が失業した
LQ05RE_F	79	w13問5(6)今までの経験―自分が転職した
LQ05RE_G	80	w13問5(7)今までの経験―自分が同棲した
LQ05RE_H	81	w13問5(8)今までの経験―自分が離婚した
LQ05RE_I	82	w13問5(9)今までの経験―自分が再婚した
LQ05RE_J	83	w13問5(10)今までの経験―自分が学校でいじめを受けた
LQ05RE_K	84	w13問5(11)今までの経験―自分が大きな事故や災害にあった
LQ05RE_L	85	w13問5(12)今までの経験―自分が暴行・強盗・恐喝などの犯罪被害にあった
LQ05RE_M	86	w13問5(13)今までの経験―自分が手術や長期療養を要する病気・ケガをした
LQ05RE_N	87	w13問5(14)今までの経験―自分が家族の看病・介護をした
LQ05RE_O	88	w13問5(15)今までの経験―その他大きな出来事
LQ06_1S	89	w13問6資格1･取得年齢
LQ06_2S	90	w13問6資格2･取得年齢
LQ06_3S	91	w13問6資格3･取得年齢
LQ06_4S	92	w13問6資格4･取得年齢
LQ06_5S	93	w13問6資格5･取得年齢
LQ06_6S	94	w13問6資格6･取得年齢
LQ06_7S	95	w13問6資格7･取得年齢
LQ06_8S	96	w13問6資格8･取得年齢
LQ06_9S	97	w13問6資格9･取得年齢
LQ06_10S	98	w13問6資格10･取得年齢
LQ07RE	99	w13問7専門学校以上への通学経験
LQ07RE_1A	100	w13問7付問1校目＿設置者
LQ07RE_1C	101	w13問7付問1校目＿種類
lq07re_1dx	102	w13問7付問1校目＿学部学科
LQ07RE_1E	103	w13問7付問1校目＿課程
LQ07RE_1F	104	w13問7付問1校目＿入学年
LQ07RE_1G	105	w13問7付問1校目＿卒業年
LQ07RE_1H	106	w13問7付問1校目＿卒業中退
LQ07RE_2A	107	w13問7付問2校目＿設置者
LQ07RE_2C	108	w13問7付問2校目＿種類
lq07re_2dx	109	w13問7付問2校目＿学部学科
LQ07RE_2E	110	w13問7付問2校目＿課程
LQ07RE_2F	111	w13問7付問2校目＿入学年
LQ07RE_2G	112	w13問7付問2校目＿卒業年
LQ07RE_2H	113	w13問7付問2校目＿卒業中退
LQ07RE_3A	114	w13問7付問3校目＿設置者
LQ07RE_3C	115	w13問7付問3校目＿種類
lq07re_3dx	116	w13問7付問3校目＿学部学科
LQ07RE_3E	117	w13問7付問3校目＿課程
LQ07RE_3F	118	w13問7付問3校目＿入学年
LQ07RE_3G	119	w13問7付問3校目＿卒業年
LQ07RE_3H	120	w13問7付問3校目＿卒業中退
LQ07RE_4A	121	w13問7付問4校目＿設置者
LQ07RE_4C	122	w13問7付問4校目＿種類
lq07re_4dx	123	w13問7付問4校目＿学部学科
LQ07RE_4E	124	w13問7付問4校目＿課程
LQ07RE_4F	125	w13問7付問4校目＿入学年
LQ07RE_4G	126	w13問7付問4校目＿卒業年
LQ07RE_4H	127	w13問7付問4校目＿卒業中退
LQ08A	128	w13問8A_起床時間
LQ08AX	129	w13問8A起床時間―午前午後
LQ08AY	130	w13問8A起床時間―時
LQ08AZ	131	w13問8A起床時間―分
lq08a24	132	w13問8A_起床する（24時制）
LQ08B	133	w13問8B_家を出る時間
LQ08BX	134	w13問8B家を出る時間―午前午後
LQ08BY	135	w13問8B家を出る時間―時
LQ08BZ	136	w13問8B家を出る時間―分
lq08b24	137	w13問8B_家を出る（24時制）
lq08b48	138	w13問8B_家を出る（48時制）
LQ08C	139	w13問8C_家に帰ってくる時間
LQ08CX	140	w13問8C家に帰ってくる時間―午前午後
LQ08CY	141	w13問8C家に帰ってくる時間―時
LQ08CZ	142	w13問8C家に帰ってくる時間―分
lq08c24	143	w13問8C_家に帰ってくる（24時制）
lq08c48	144	w13問8C_家に帰ってくる（48時制）
LQ08D	145	w13問8D_就寝する時間
LQ08DX	146	w13問8D就寝する時間―午前午後
LQ08DY	147	w13問8D就寝する時間―時
LQ08DZ	148	w13問8D就寝する時間―分
lq08d24	149	w13問8D_就寝する（24時制）
lq08d48	150	w13問8D_就寝する（48時制）
LQ09ADH	151	w13問9A平日の家事（時間）
LQ09ADM	152	w13問9A_平日の家事（分）
LQ09AHH	153	w13問9A_休日の家事（時間）
LQ09AHM	154	w13問9A_休日の家事（分）
LQ09BDH	155	w13問9B_平日の育児（時間）
LQ09BDM	156	w13問9B_平日の育児（分）
LQ09BHH	157	w13問9B_休日の育児（時間）
LQ09BHM	158	w13問9B_休日の育児（分）
LQ10A	159	w13問10A_ふだんの生活での頻度―運動
LQ10B	160	w13問10B_ふだんの生活での頻度―1日に3食を食べる
LQ10C	161	w13問10C_ふだんの生活での頻度―栄養バランスの取れた食事を取る
LQ10D	162	w13問10D_ふだんの生活での頻度―カップ麺やファーストフードを食べる
LQ10E	163	w13問10E_ふだんの生活での頻度―外食
LQ10F	164	w13問10F_ふだんの生活での頻度―食事の用意
LQ10G	165	w13問10G_ふだんの生活での頻度―洗濯
LQ10H	166	w13問10H_ふだんの生活での頻度―家の掃除
LQ10I	167	w13問10I_ふだんの生活での頻度―日用品・食料品の買い物
LQ10J	168	w13問10J_ふだんの生活での頻度―友人・恋人（配偶者は除く）と食事をする
LQ10K	169	w13問10K_ふだんの生活での頻度―友人・恋人（配偶者は除く）と話をする
LQ10L	170	w13問10L_ふだんの生活での頻度―インターネットを利用する（仕事以外で）
LQ10M	171	w13問10M_ふだんの生活での頻度―習い事
LQ10N	172	w13問10N_ふだんの生活での頻度―子どもと遊ぶ（子どものいる方のみ）
LQ10O	173	w13問10O_ふだんの生活での頻度―介護（仕事以外で）
LQ11A_A	174	w13問11A-1_自分の仕事や勉強のことを相談する人―親
LQ11A_B	175	w13問11A-2_自分の仕事や勉強のことを相談する人―配偶者または恋人
LQ11A_C	176	w13問11A-3_自分の仕事や勉強のことを相談する人―子ども
LQ11A_D	177	w13問11A-4_自分の仕事や勉強のことを相談する人―兄弟姉妹
LQ11A_E	178	w13問11A-5_自分の仕事や勉強のことを相談する人―その他の親戚
LQ11A_F	179	w13問11A-6_自分の仕事や勉強のことを相談する人―仕事関係の友人・知人
LQ11A_G	180	w13問11A-7_自分の仕事や勉強のことを相談する人―学生時代の友人・知人
LQ11A_H	181	w13問11A-8_自分の仕事や勉強のことを相談する人―その他の友人・知人
LQ11A_I	182	w13問11A-9_自分の仕事や勉強のことを相談する人―誰もいない
LQ11B_A	183	w13問11B-1_仕事を紹介してもらうことを相談する人―親
LQ11B_B	184	w13問11B-2_仕事を紹介してもらうことを相談する人―配偶者または恋人
LQ11B_C	185	w13問11B-3_仕事を紹介してもらうことを相談する人―子ども
LQ11B_D	186	w13問11B-4_仕事を紹介してもらうことを相談する人―兄弟姉妹
LQ11B_E	187	w13問11B-5_仕事を紹介してもらうことを相談する人―その他の親戚
LQ11B_F	188	w13問11B-6_仕事を紹介してもらうことを相談する人―仕事関係の友人・知人
LQ11B_G	189	w13問11B-7_仕事を紹介してもらうことを相談する人―学生時代の友人・知人
LQ11B_H	190	w13問11B-8_仕事を紹介してもらうことを相談する人―その他の友人・知人
LQ11B_I	191	w13問11B-9_仕事を紹介してもらうことを相談する人―誰もいない
LQ11C_A	192	w13問11C-1_友人・恋人・配偶者などとの人間関係のことを相談する人―親
LQ11C_B	193	w13問11C-2_友人・恋人・配偶者などとの人間関係のことを相談する人―配偶者または恋人
LQ11C_C	194	w13問11C-3_友人・恋人・配偶者などとの人間関係のことを相談する人―子ども
LQ11C_D	195	w13問11C-4_友人・恋人・配偶者などとの人間関係のことを相談する人―兄弟姉妹
LQ11C_E	196	w13問11C-5_友人・恋人・配偶者などとの人間関係のことを相談する人―その他の親戚
LQ11C_F	197	w13問11C-6_友人・恋人・配偶者などとの人間関係のことを相談する人―仕事関係の友人・知人
LQ11C_G	198	w13問11C-7_友人・恋人・配偶者などとの人間関係のことを相談する人―学生時代の友人・知人
LQ11C_H	199	w13問11C-8_友人・恋人・配偶者などとの人間関係のことを相談する人―その他の友人・知人
LQ11C_I	200	w13問11C-9_友人・恋人・配偶者などとの人間関係のことを相談する人―誰もいない
LQ11D_A	201	w13問11D-1_失業や病気のときにまとまったお金を貸してもらう相談をする人―親
LQ11D_B	202	w13問11D-2_失業や病気のときにまとまったお金を貸してもらう相談をする人―配偶者または恋人
LQ11D_C	203	w13問11D-3_失業や病気のときにまとまったお金を貸してもらう相談をする人―子ども
LQ11D_D	204	w13問11D-4_失業や病気のときにまとまったお金を貸してもらう相談をする人―兄弟姉妹
LQ11D_E	205	w13問11D-5_失業や病気のときにまとまったお金を貸してもらう相談をする人―その他の親戚
LQ11D_F	206	w13問11D-6_失業や病気のときにまとまったお金を貸してもらう相談をする人―仕事関係の友人・知人
LQ11D_G	207	w13問11D-7_失業や病気のときにまとまったお金を貸してもらう相談をする人―学生時代の友人・知人
LQ11D_H	208	w13問11D-8_失業や病気のときにまとまったお金を貸してもらう相談をする人―その他の友人・知人
LQ11D_I	209	w13問11D-9_失業や病気のときにまとまったお金を貸してもらう相談をする人―誰もいない
LQ11E_A	210	w13問11E-1_自分や家族の誰かが病気や事故で、人手が必要になったときに手伝ってもらう―親
LQ11E_B	211	w13問11E-2_自分や家族の誰かが病気や事故で、人手が必要になったときに手伝ってもらう―配偶者または恋人
LQ11E_C	212	w13問11E-3_自分や家族の誰かが病気や事故で、人手が必要になったときに手伝ってもらう―子ども
LQ11E_D	213	w13問11E-4_自分や家族の誰かが病気や事故で、人手が必要になったときに手伝ってもらう―兄弟姉妹
LQ11E_E	214	w13問11E-5_自分や家族の誰かが病気や事故で、人手が必要になったときに手伝ってもらう―その他の親戚
LQ11E_F	215	w13問11E-6_自分や家族の誰かが病気や事故で、人手が必要になったときに手伝ってもらう―仕事関係の友人・知人
LQ11E_G	216	w13問11E-7_自分や家族の誰かが病気や事故で、人手が必要になったときに手伝ってもらう―学生時代の友人・知人
LQ11E_H	217	w13問11E-8_自分や家族の誰かが病気や事故で、人手が必要になったときに手伝ってもらう―その他の友人・知人
LQ11E_I	218	w13問11E-9_自分や家族の誰かが病気や事故で、人手が必要になったときに手伝ってもらう―誰もいない
LQ12_1	219	w13問12-1_この1年間の経験―自分が離婚した
LQ12_2	220	w13問12-2_この1年間の経験―父が亡くなった
LQ12_3	221	w13問12-3_この1年間の経験―母が亡くなった
LQ12_4	222	w13問12-4_この1年間の経験―自分が引っ越をした
LQ12_5	223	w13問12-5_この1年間の経験―自分が産休を取った
LQ12_6	224	w13問12-6_この1年間の経験―自分が育休を取った
LQ12_7	225	w13問12-7_この1年間の経験―自分が介護休暇・介護休業を取った
LQ12_8	226	w13問12-8_この1年間の経験―配偶者が産休を取った
LQ12_9	227	w13問12-9_この1年間の経験―配偶者が育休を取った
LQ12_10	228	w13問12-10_この1年間の経験―配偶者が介護休暇・介護休業を取った
LQ12_11	229	w13問12-11_この1年間の経験―配偶者が亡くなった
LQ12_12	230	w13問12-12_この1年間の経験―どれもなかった
LQ13	231	w13問13_子どもの有無
LQ13_1A	232	w13問13付問_1人目・生まれ―元号
LQ13_1BY	233	w13問13付問_1人目・生まれ―年
LQ13_1BM	234	w13問13付問_1人目・生まれ―月
LQ13_1C	235	w13問13付問_1人目･性別
LQ13_1D	236	w13問13付問_1人目・住まい
LQ13_1E	237	w13問13付問_1人目・学校
LQ13_1F	238	w13問13付問_1人目・在学中
LQ13_1G	239	w13問13付問_1人目・仕事の有無
LQ13_2A	240	w13問13付問_2人目・生まれ―元号
LQ13_2BY	241	w13問13付問_2人目・生まれ―年
LQ13_2BM	242	w13問13付問_2人目・生まれ―月
LQ13_2C	243	w13問13付問_2人目･性別
LQ13_2D	244	w13問13付問_2人目・住まい
LQ13_2E	245	w13問13付問_2人目・学校
LQ13_2F	246	w13問13付問_2人目・在学中
LQ13_2G	247	w13問13付問_2人目・仕事の有無
LQ13_3A	248	w13問13付問_3人目・生まれ―元号
LQ13_3BY	249	w13問13付問_3人目・生まれ―年
LQ13_3BM	250	w13問13付問_3人目・生まれ―月
LQ13_3C	251	w13問13付問_3人目･性別
LQ13_3D	252	w13問13付問_3人目・住まい
LQ13_3E	253	w13問13付問_3人目・学校
LQ13_3F	254	w13問13付問_3人目・在学中
LQ13_3G	255	w13問13付問_3人目・仕事の有無
LQ13_4A	256	w13問13付問_4人目・生まれ―元号
LQ13_4BY	257	w13問13付問_4人目・生まれ―年
LQ13_4BM	258	w13問13付問_4人目・生まれ―月
LQ13_4C	259	w13問13付問_4人目･性別
LQ13_4D	260	w13問13付問_4人目・住まい
LQ13_4E	261	w13問13付問_4人目・学校
LQ13_4F	262	w13問13付問_4人目・在学中
LQ13_4G	263	w13問13付問_4人目・仕事の有無
LQ13_5A	264	w13問13付問_5人目・生まれ―元号
LQ13_5BY	265	w13問13付問_5人目・生まれ―年
LQ13_5BM	266	w13問13付問_5人目・生まれ―月
LQ13_5C	267	w13問13付問_5人目･性別
LQ13_5D	268	w13問13付問_5人目・住まい
LQ13_5E	269	w13問13付問_5人目・学校
LQ13_5F	270	w13問13付問_5人目・在学中
LQ13_5G	271	w13問13付問_5人目・仕事の有無
LQ13_6A	272	w13問13付問_6人目・生まれ―元号
LQ13_6BY	273	w13問13付問_6人目・生まれ―年
LQ13_6BM	274	w13問13付問_6人目・生まれ―月
LQ13_6C	275	w13問13付問_6人目･性別
LQ13_6D	276	w13問13付問_6人目・住まい
LQ13_6E	277	w13問13付問_6人目・学校
LQ13_6F	278	w13問13付問_6人目・在学中
LQ13_6G	279	w13問13付問_6人目・仕事の有無
LQ13_7A	280	w13問13付問_7人目・生まれ―元号
LQ13_7BY	281	w13問13付問_7人目・生まれ―年
LQ13_7BM	282	w13問13付問_7人目・生まれ―月
LQ13_7C	283	w13問13付問_7人目･性別
LQ13_7D	284	w13問13付問_7人目・住まい
LQ13_7E	285	w13問13付問_7人目・学校
LQ13_7F	286	w13問13付問_7人目・在学中
LQ13_7G	287	w13問13付問_7人目・仕事の有無
LQ13_8A	288	w13問13付問_8人目・生まれ―元号
LQ13_8BY	289	w13問13付問_8人目・生まれ―年
LQ13_8BM	290	w13問13付問_8人目・生まれ―月
LQ13_8C	291	w13問13付問_8人目･性別
LQ13_8D	292	w13問13付問_8人目・住まい
LQ13_8E	293	w13問13付問_8人目・学校
LQ13_8F	294	w13問13付問_8人目・在学中
LQ13_8G	295	w13問13付問_8人目・仕事の有無
LQ13_9A	296	w13問13付問_9人目・生まれ―元号
LQ13_9BY	297	w13問13付問_9人目・生まれ―年
LQ13_9BM	298	w13問13付問_9人目・生まれ―月
LQ13_9C	299	w13問13付問_9人目･性別
LQ13_9D	300	w13問13付問_9人目・住まい
LQ13_9E	301	w13問13付問_9人目・学校
LQ13_9F	302	w13問13付問_9人目・在学中
LQ13_9G	303	w13問13付問_9人目・仕事の有無
LQ13_10A	304	w13問13付問_10人目・生まれ―元号
LQ13_10BY	305	w13問13付問_10人目・生まれ―年
LQ13_10BM	306	w13問13付問_10人目・生まれ―月
LQ13_10C	307	w13問13付問_10人目･性別
LQ13_10D	308	w13問13付問_10人目・住まい
LQ13_10E	309	w13問13付問_10人目・学校
LQ13_10F	310	w13問13付問_10人目・在学中
LQ13_10G	311	w13問13付問_10人目・仕事の有無
LQ13S	312	w13問13付問_子どもの人数
LQ14_1	313	w13問14(1)_同居している人数（本人含む）
LQ14_2A	314	w13問14(2)-0_一人暮らし
LQ14_2B	315	w13問14(2)-1_配偶者（あなたの夫または妻）
LQ14_2C	316	w13問14(2)-2_恋人
LQ14_2D	317	w13問14(2)-3_息子
LQ14_2E	318	w13問14(2)-4_娘
LQ14_2F	319	w13問14(2)-5_子どもの配偶者
LQ14_2G	320	w13問14(2)-6_孫
LQ14_2H	321	w13問14(2)-7_あなたの父親
LQ14_2I	322	w13問14(2)-8_あなたの母親
LQ14_2J	323	w13問14(2)-9_配偶者の父親
LQ14_2K	324	w13問14(2)-10_配偶者の母親
LQ14_2L	325	w13問14(2)-11_あなたの祖父
LQ14_2M	326	w13問14(2)-12_あなたの祖母
LQ14_2N	327	w13問14(2)-13_配偶者の祖父母
LQ14_2O	328	w13問14(2)-14_あなたの兄弟姉妹
LQ14_2P	329	w13問14(2)-15_配偶者の兄弟姉妹
LQ14_2Q	330	w13問14(2)-16_その他
lq14_2s	331	w13問14(2)-17_その他の親戚
lq14_2t	332	w13問14(2)-18_親戚以外
LQ14_3F_A	333	w13問14(3)A_父親の状態
LQ14_3F_A1	334	w13問14(3)A_父親の年齢
LQ14_3F_A2	335	w13問14(3)A_父親の享年
LQ14_3F_B	336	w13問14(3)B_父親の就業状況
LQ14_3F_C	337	w13問14(3)C_父親の暮らし向き
LQ14_3F_D	338	w13問14(3)D_父親の健康状態
LQ14_3F_E	339	w13問14(3)E_父親の住まい
LQ14_3F_F	340	w13問14(3)F_父親の介護の必要
LQ14_3F_G	341	w13問14(3)G_父親の要介護状態
LQ14_3F_H_1	342	w13問14(3)H_父親の介護時間（あなた）
LQ14_3F_H_2	343	w13問14(3)H_父親の介護時間（配偶者）
LQ14_3F_H_3	344	w13問14(3)H_父親の介護時間（その他親族）
LQ14_3F_H_4	345	w13問14(3)H_父親の介護時間（介護事業者）
LQ14_3F_I_A	346	w13問14(3)I_父親の介護で利用しているサービス（訪問サービス）
LQ14_3F_I_B	347	w13問14(3)I_父親の介護で利用しているサービス（通所サービス）
LQ14_3F_I_C	348	w13問14(3)I_父親の介護で利用しているサービス（短期入所サービス）
LQ14_3F_I_D	349	w13問14(3)I_父親の介護で利用しているサービス（居住系サービス）
LQ14_3F_I_E	350	w13問14(3)I_父親の介護で利用しているサービス（その他サービス）
LQ14_3F_I_F	351	w13問14(3)I_父親の介護で利用しているサービス（サービスを利用していない）
LQ14_3M_A	352	w13問14(3)A_母親の状態
LQ14_3M_A1	353	w13問14(3)A_母親の年齢
LQ14_3M_A2	354	w13問14(3)A_母親の享年
LQ14_3M_B	355	w13問14(3)B_母親の就業状況
LQ14_3M_C	356	w13問14(3)C_母親の暮らし向き
LQ14_3M_D	357	w13問14(3)D_母親の健康状態
LQ14_3M_E	358	w13問14(3)E_母親の住まい
LQ14_3M_F	359	w13問14(3)F_母親の介護の必要
LQ14_3M_G	360	w13問14(3)G_母親の要介護状態
LQ14_3M_H_1	361	w13問14(3)H_母親の介護時間（あなた）
LQ14_3M_H_2	362	w13問14(3)H_母親の介護時間（配偶者）
LQ14_3M_H_3	363	w13問14(3)H_母親の介護時間（その他親族）
LQ14_3M_H_4	364	w13問14(3)H_母親の介護時間（介護事業者）
LQ14_3M_I_A	365	w13問14(3)I_母親の介護で利用しているサービス（訪問サービス）
LQ14_3M_I_B	366	w13問14(3)I_母親の介護で利用しているサービス（通所サービス）
LQ14_3M_I_C	367	w13問14(3)I_母親の介護で利用しているサービス（短期入所サービス）
LQ14_3M_I_D	368	w13問14(3)I_母親の介護で利用しているサービス（居住系サービス）
LQ14_3M_I_E	369	w13問14(3)I_母親の介護で利用しているサービス（その他サービス）
LQ14_3M_I_F	370	w13問14(3)I_母親の介護で利用しているサービス（サービスを利用していない）
LQ14_4	371	w13問14(4)_もう1人子どもが欲しいか
LQ14_5	372	w13(5)_自分にとって理想的な子どもの数
LQ14_5S	373	w13(5)付問_5人以上の場合の具体的な人数
LQ15	374	w13問15_自分の健康状態
LQ16	375	w13問16_過去1年間、病気や怪我により活動ができなかった日の有無
LQ16S	376	w13問16_過去1年間、病気や怪我により活動ができなかった日数
LQ17A	377	w13問17_過去1年間の歯科通院日数
LQ17B	378	w13問17_過去1年間の通院（歯科除く）日数
LQ17C	379	w13問17_過去1年間の入院日数
LQ18A	380	w13問18A_過去1ヶ月間―かなり神経質であったこと
LQ18B	381	w13問18B_過去1ヶ月間―どうにもならないくらい気分が落ち込んでいたこと
LQ18C	382	w13問18C_過去1ヶ月間―落ち着いていておだやかな気分であったこと
LQ18D	383	w13問18D_過去1ヶ月間―落ち込んで、憂鬱な気分であったこと
LQ18E	384	w13問18E_過去1ヶ月間―楽しい気分であったこと
LQ18F	385	w13問18F_過去1ヶ月間―健康上の理由で、家事や仕事などが制限されたこと
LQ19A	386	w13問19A_身長
LQ19B	387	w13問19B_体重
LQ19C_A	388	w13問19C付問-1_視力の矯正―メガネの使用
LQ19C_B	389	w13問19C付問-2_視力の矯正―コンタクトレンズの使用
LQ19C_C	390	w13問19C付問-3_視力の矯正―いずれも使用していない
LQ19CL	391	w13問19C-L_視力（左）
LQ19CR	392	w13問19C-R_視力（右）
LQ20	393	w13問20_1日に吸うタバコの本数
LQ21	394	w13問21_飲酒の頻度
LQ22_A	395	w13問22-1_過去3年間の健康診断受診経験
LQ22_B	396	w13問22-2_過去3年間の人間ドック受診経験
LQ22_C	397	w13問22-3_過去3年間の市区町村のがん検診受診経験
LQ22_D	398	w13問22-4_過去3年間の受診経験どれもなし
LQ23_A	399	w13問23-1_この1年間に自分・配偶者の両親から受けた支援―日常の家事
LQ23_B	400	w13問23-2_この1年間に自分・配偶者の両親から受けた支援―仕送りなど経済的支援
LQ23_C	401	w13問23-3_この1年間に自分・配偶者の両親から受けた支援―子どもの世話
LQ23_D	402	w13問23-4_この1年間に自分・配偶者の両親から受けた支援―子どもの出産・入学祝い
LQ23_E	403	w13問23-5_この1年間に自分・配偶者の両親から受けた支援―子どもの教育資金
LQ23_F	404	w13問23-6_この1年間に自分・配偶者の両親から受けた支援―住宅資金
LQ23_G	405	w13問23-7_この1年間に自分・配偶者の両親から受けた支援―お中元やお歳暮などの季節の贈り物
LQ23_H	406	w13問23-8_この1年間に自分・配偶者の両親から受けた支援―その他
LQ23_I	407	w13問23-9_この1年間に自分・配偶者の両親から受けた支援―どれもなかった
lq23_j	408	w13問23-10_この1年間に自分・配偶者の両親から受けた支援―子どもに関するその他のお祝い
LQ24_A	409	w13問24-1_この1年間に自分・配偶者の両親にした支援―日常の家事
LQ24_B	410	w13問24-2_この1年間に自分・配偶者の両親にした支援―仕送りなど経済的支援
LQ24_C	411	w13問24-3_この1年間に自分・配偶者の両親にした支援―買い物の手伝い
LQ24_D	412	w13問24-4_この1年間に自分・配偶者の両親にした支援―病気のときの世話
LQ24_E	413	w13問24-5_この1年間に自分・配偶者の両親にした支援―通院の付き添い
LQ24_F	414	w13問24-6_この1年間に自分・配偶者の両親にした支援―入院・老人ホームなどの入所費用の援助
LQ24_G	415	w13問24-7_この1年間に自分・配偶者の両親にした支援―家の建て替え・改修などの資金援助
LQ24_H	416	w13問24-8_この1年間に自分・配偶者の両親にした支援―お中元やお歳暮などの季節の贈り物
LQ24_I	417	w13問24-9_この1年間に自分・配偶者の両親にした支援―その他
LQ24_J	418	w13問24-10_この1年間に自分・配偶者の両親にした支援―どれもなかった
lq24_k	419	w13問24-11_この1年間に自分・配偶者の両親にした支援―記念日のお祝い
LQ25A	420	w13問25A_現在の満足度―仕事
LQ25B	421	w13問25B_現在の満足度―結婚生活
LQ25C	422	w13問25C_現在の満足度―友人関係
LQ25D	423	w13問25D_現在の満足度―あなたの親との関係
LQ25E	424	w13問25E_現在の満足度―あなたの子との関係
LQ25F	425	w13問25F_現在の満足度―生活全般
LQ26	426	w13問26_現在の暮らしむき
LQ27	427	w13問27_将来の自分の仕事や生活に希望があるか
LQ28A	428	w13問28A_自分にとっての重要度―仕事で成功すること
LQ28B	429	w13問28B_自分にとっての重要度―結婚して幸せな家庭生活を送ること
